Sample,Size Class,Amphipod,Number
1,2.00,C,1
1,1.40,A,2
1,1.00,A,14
1,1.00,B,1
1,0.71,A,17
1,0.71,B,2
1,0.71,C,1
1,0.50,A,39
1,0.50,B,2
1,0.25,A,80
1,0.25,B,5
1,0.25,D,7
2,1.40,A,1
2,1.40,C,1
2,1.00,A,18
2,1.00,C,1
2,0.71,A,28
2,0.71,C,6
2,0.50,A,24
2,0.50,C,7
2,0.50,D,14
2,0.50,E,3
2,0.25,A,59
2,0.25,C,5
2,0.25,D,31
2,0.25,E,2
3,2.00,C,1
3,1.00,A,10
3,1.00,C,1
3,0.71,A,35
3,0.71,C,5
3,0.50,A,47
3,0.50,C,8
3,0.50,D,7
3,0.25,A,79
3,0.25,C,4
3,0.25,D,31
3,0.25,E,1
4,1.40,A,3
4,1.00,A,7
4,0.71,A,15
4,0.71,C,1
4,0.50,A,35
4,0.50,C,1
4,0.25,A,33
4,0.25,D,3
5,0.71,A,5
5,0.71,B,1
5,0.71,D,1
5,0.50,A,21
5,0.50,B,1
5,0.25,A,34
5,0.25,B,2
5,0.25,D,1
5,0.25,E,1
6,2.00,C,1
6,1.00,A,6
6,1.00,C,1
6,0.71,A,21
6,0.71,C,5
6,0.71,D,3
6,0.50,A,47
6,0.50,C,1
6,0.50,D,9
6,0.25,A,71
6,0.26,D,39
7,0.71,A,11
7,0.71,B,2
7,0.71,C,1
7,0.50,A,21
7,0.50,B,1
7,0.50,C,2
7,0.50,D,1
7,0.25,A,58
7,0.25,D,12
8,1.00,A,5
8,0.71,A,11
8,0.50,A,39
8,0.50,B,1
8,0.50,C,1
8,0.50,E,1
8,0.25,A,75
8,0.25,C,1
8,0.25,D,6
9,2.00,C,1
9,1.00,A,5
9,0.71,A,8
9,0.71,E,1
9,0.50,A,17
9,0.50,C,2
9,0.25,A,30
9,0.25,D,2
10,1.40,A,1
10,1.00,A,4
10,0.71,A,14
10,0.50,A,34
10,0.25,A,80
10,0.25,D,5
11,1.00,A,3
11,0.71,A,5
11,0.50,A,26
11,0.50,C,1
11,0.50,D,6
11,0.25,A,48
11,0.25,D,8
12,2.00,A,1
12,1.40,A,1
12,1.00,A,6
12,0.71,A,9
12,0.71,C,2
12,0.50,A,35
12,0.50,C,3
12,0.25,A,33
12,0.25,D,6
13,1.40,A,2
13,1.00,A,12
13,0.71,A,16
13,0.71,B,1
13,0.50,A,44
13,0.25,A,164
13,0.25,D,3
14,1.40,C,1
14,1.00,A,9
14,0.71,A,14
14,0.71,E,1
14,0.50,A,20
14,0.25,A,32
14,0.25,D,5
