Sample Id,Category,Seagrass Wt (gms),HA,Co,AMA,AMB,AMC,AMD,AME,AMF,AMG,AM?,CU,IS,CAP,PN
1a,Dense,0.862,,,13,0,6,6,6,2,2,2,2,#N/A,16,4
1b,Dense,1.204,,,13,1,0,2,0,8,1,1,2,#N/A,9,2
1c,Dense,0.8,,,6,0,0,1,0,3,1,2,2,#N/A,11,8
1d,Dense,#N/A,1,0,19,0,0,3,0,5,1,1,5,0,8,4
2a,Sparse,0.136,,,20,4,0,14,0,2,2,9,#N/A,#N/A,1,7
2b,Sparse,0.212,,,15,2,1,6,0,4,9,0,#N/A,#N/A,#N/A,4
2c,Sparse,0.098,,,13,2,0,19,0,3,4,0,2,#N/A,2,9
3a,Medium,0.314,,,17,0,0,4,0,0,2,3,3,#N/A,7,15
3b,Medium,0.081,,,3,2,1,1,0,0,0,1,#N/A,#N/A,2,8
3c,Medium,0.519,,,31,3,1,1,1,1,2,1,1,#N/A,10,4
4a,Sparse,0.124,#N/A,#N/A,23,27,1,0,0,0,0,0,2,0,2,1
4b,Sparse,0.075,#N/A,#N/A,0,12,0,1,0,0,1,1,5,0,0,2
4c,Sparse,0.211,,,18,23,0,0,0,0,1,0,0,0,2,0
5a,Medium-Dense,0.577,0,0,21,2,1,3,0,0,0,0,0,0,2,7
5b,Medium-Dense,0.253,0,0,27,11,1,0,0,0,0,4,1,0,3,0
5c,Medium-Dense,0.941,0,1,15,0,4,36,1,0,1,3,2,0,28,8
6a,Medium-Sparse,0.114,0,1,29,37,1,3,0,6,0,3,3,0,22,0
6b,Medium-Sparse,0.356,0,0,34,11,0,7,0,3,0,0,1,0,23,1
6c,Medium-Sparse,0.211,0,1,24,16,0,20,2,2,1,1,3,0,11,2
