Experiment,Fish No.,Fish Length (mm),Prey Length (mm),Prey
FE1,1,25,3.1,AMA
FE1,1,25,4,AMA
FE1,1,25,3.9,AMA
FE1,1,25,4.6,AMA
FE1,2,23,2,AMA
FE1,2,23,2.1,AMA
FE1,2,23,2.1,AMA
FE1,2,23,2.3,AMA
FE1,2,23,3.4,AMA
FE1,2,23,3.6,AMA
FE1,2,23,3.4,AMA
FE1,2,23,3.4,AMA
FE1,2,23,3,AMA
FE1,2,23,1.8,CU
FE1,3,22,4.6,AMA
FE1,3,22,3.5,AMA
FE1,3,22,3.4,AMA
FE1,3,22,3.4,AMA
FE1,3,22,1.8,AMA
FE1,4,21,0,NIL
FE1,5,20,1.7,AMA
FE1,5,20,2.4,AMA
FE1,5,20,3.8,AMA
FE1,5,20,2.4,AMA
FE2,1,26,4.2,AMA
FE2,1,26,1.8,AMA
FE2,1,26,2.3,AMA
FE2,1,26,2.1,AMA
FE2,2,25,3.2,AMA
FE2,2,25,4.2,AMA
FE2,2,25,4.4,AMA
FE2,2,25,2.2,AMA
FE2,3,27,3.8,AMA
FE2,4,27,3.1,AMA
FE2,4,27,2.8,AMA
FE2,4,27,2.3,AMA
FE2,4,27,3.4,AMA
FE2,4,27,4.5,AMA
FE2,5,24,4.4,AMA
FE3,1,27,1.8,AMA
FE3,1,27,2.1,AMA
FE3,1,27,3.3,AMA
FE3,1,27,1.8,AMA
FE3,1,27,2,AMA
FE3,1,27,1.6,AMA
FE3,1,27,3.7,AMA
FE3,1,27,3.1,AMA
FE3,1,27,2.4,AMA
FE3,1,27,2,AMA
FE3,1,27,2.3,AMA
FE3,1,27,3.2,AMA
FE3,1,27,2.2,AMA
FE3,1,27,2.6,AMA
FE3,1,27,3.6,AMA
