 Length, Mouthwidth
  8.0,  0.70
  8.0,  0.70
  9.0,  0.70
  9.0,  0.80
  9.5,  0.75
  9.5,  0.80
  11.0, 0.80
  11.5, 0.95
  11.5, 1.05
  12.0, 0.95
  12.0, 0.95
  12.5, 1.10
  13.0, 1.10
  13.4, 1.15
  14.0, 1.10
  15.0, 1.30
  15.0, 1.35
  15.5, 1.25
  15.8, 1.30
  15.8, 1.40
  16.0, 1.25
  16.0, 1.30
  16.0, 1.30
  16.0, 1.40
  16.0, 1.40
  16.5, 1.30
  16.5, 1.40
  16.8, 1.50
  17.0, 1.50
  17.2, 1.55
  17.3, 1.50
  17.3, 1.50
  17.5, 1.40
  17.5, 1.50
  18.0, 1.50
  18.0, 1.60
  18.2, 1.75
  18.8, 1.65
  19.0, 1.55
  19.0, 1.70
  19.0, 1.80
  19.1, 1.68
  20.0, 1.65
  20.0, 1.70
  20.0, 1.80
  20.9, 1.80
  21.0, 1.70
  21.0, 1.80
  21.0, 1.80
  21.0, 1.90
  22.0, 1.70
  22.0, 1.90
  22.1, 2.10
  22.8, 2.10
  23.0, 2.10
  23.1, 2.20
  23.5, 2.00
  23.5, 2.20
  23.8, 2.20
  24.0, 2.10
  24.0, 2.30
  24.3, 2.15
  24.5, 2.20
  24.5, 2.30
  24.7, 2.40
  25.0, 2.00
  25.0, 2.20
  25.0, 2.20
  25.0, 2.30
  25.0, 2.30
  25.1, 2.20
  25.2, 2.40
  25.5, 2.20
  25.7, 2.50
  25.8, 2.20
  25.8, 2.40
  26.0, 2.40
  26.0, 2.50
  26.2, 2.20
  26.3, 2.40
  27.0, 2.20
  27.0, 2.30
  27.1, 2.40
  27.5, 2.60
  28.0, 2.10
  28.0, 2.65
  28.2, 2.80
  29.0, 2.40
  29.0, 2.70
  29.2, 2.55
  30.0, 3.00
  30.0, 3.30
  31.0, 2.60
  31.0, 2.80
  31.0, 2.90
  31.5, 2.70
  32.0, 2.20
  35.0, 3.40
